File Date,Trade Date,Form,Insider,Ticker,Security Title,Code,10b5-1,Direct,Exercise Price,Unit Price,Units Changed,Value Changed (1K),Remaining Options,Remaining Shares
2021-03-04,2021-03-02,4,Henris John William,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"73,736",nan,"73,736",nan
2021-03-04,2021-03-02,4,GARRETT DIANE R,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"154,495",nan,"154,495",nan
2021-03-04,2021-03-02,4,RIDEOUT STANTON K,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"79,003",nan,"79,003",nan
2021-03-01,2021-03-01,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,7.0200,-600,-4,nan,"11,943,317"
2021-03-01,2021-02-26,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,7.0916,"-6,695",-47,nan,"11,943,917"
2021-03-01,2021-02-25,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,7.1800,"-2,605",-19,nan,"11,950,612"
2021-02-23,2021-02-20,4,Stieber Jeffrey,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"4,874",nan,"8,183",nan
2021-01-12,2021-01-11,4,Henris John William,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"33,423",nan,"33,423",nan
2020-12-22,2020-12-22,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,8.0320,"-21,796",-175,nan,"11,953,217"
2020-12-22,2020-12-18,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,8.6553,"-28,075",-243,nan,"11,975,013"
2020-12-21,2020-12-17,4,RIDEOUT STANTON K,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"19,109",nan,"19,109",nan
2020-12-17,2020-12-15,4,RIDEOUT STANTON K,HYMC,Class A Common Stock,P - Purchase,,D,nan,7.0000,"15,000",105,nan,"15,000"
2020-12-17,2020-12-15,4,Stieber Jeffrey,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"14,336",nan,"14,336",nan
2020-12-17,2020-12-16,4,GARRETT DIANE R,HYMC,Class A Common Stock,P - Purchase,,D,nan,7.6496,"2,653",20,nan,"26,000"
2020-12-17,2020-12-16,4,GARRETT DIANE R,HYMC,Class A Common Stock,P - Purchase,,D,nan,7.1000,"17,347",123,nan,"23,347"
2020-12-17,2020-12-15,4,GARRETT DIANE R,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"34,966",nan,"34,966",nan
2020-12-17,2020-12-15,4,GARRETT DIANE R,HYMC,Class A Common Stock,P - Purchase,,I,nan,7.0000,"8,000",56,nan,"8,000"
2020-12-17,2020-12-15,4,GARRETT DIANE R,HYMC,Class A Common Stock,P - Purchase,,D,nan,7.0000,"6,000",42,nan,"6,000"
2020-12-08,2020-12-04,4,"Mudrick Capital Management, L.P.",HYMC,Restricted Stock Units,A - Award,,I,nan,nan,"10,095",nan,"10,095",nan
2020-12-08,2020-12-04,4,"Mudrick Capital Management, L.P.",HYMC,Restricted Stock Units,A - Award,,I,nan,nan,"6,730",nan,"6,730",nan
2020-12-08,2020-12-04,4,ELLIS JOHN J.,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"10,095",nan,"10,095",nan
2020-12-08,2020-12-04,4,ELLIS JOHN J.,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"6,730",nan,"6,730",nan
2020-12-08,2020-12-04,4,WIESHOFER MARNI,HYMC,Restricted Stock Units,M - Exercise,,D,nan,nan,"5,047",nan,"5,048",nan
2020-12-08,2020-12-04,4,WIESHOFER MARNI,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"10,095",nan,"10,095",nan
2020-12-08,2020-12-04,4,WIESHOFER MARNI,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"6,730",nan,"6,730",nan
2020-12-08,2020-12-04,4,WIESHOFER MARNI,HYMC,Class A Common Stock,M - Exercise,,D,nan,nan,"5,047",nan,nan,"5,047"
2020-12-08,2020-12-04,4,DAVIS EUGENE I,HYMC,Restricted Stock Units,M - Exercise,,D,nan,nan,"5,047",nan,"5,048",nan
2020-12-08,2020-12-04,4,DAVIS EUGENE I,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"10,095",nan,"10,095",nan
2020-12-08,2020-12-04,4,DAVIS EUGENE I,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"6,730",nan,"6,730",nan
2020-12-08,2020-12-04,4,DAVIS EUGENE I,HYMC,Class A Common Stock,M - Exercise,,D,nan,nan,"5,047",nan,nan,"5,047"
2020-12-08,2020-12-04,4,WENG THOMAS S.,HYMC,Restricted Stock Units,M - Exercise,,D,nan,nan,"5,047",nan,"5,048",nan
2020-12-08,2020-12-04,4,WENG THOMAS S.,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"10,095",nan,"10,095",nan
2020-12-08,2020-12-04,4,WENG THOMAS S.,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"6,730",nan,"6,730",nan
2020-12-08,2020-12-04,4,WENG THOMAS S.,HYMC,Class A Common Stock,M - Exercise,,D,nan,nan,"5,047",nan,nan,"5,047"
2020-12-08,2020-12-04,4,Harrison Michael James,HYMC,Restricted Stock Units,M - Exercise,,D,nan,nan,"5,047",nan,"5,048",nan
2020-12-08,2020-12-04,4,Harrison Michael James,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"10,095",nan,"10,095",nan
2020-12-08,2020-12-04,4,Harrison Michael James,HYMC,Restricted Stock Units,A - Award,,D,nan,nan,"6,730",nan,"6,730",nan
2020-12-08,2020-12-04,4,Harrison Michael James,HYMC,Class A Common Stock,M - Exercise,,D,nan,nan,"5,047",nan,nan,"5,047"
2020-12-03,2020-12-03,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,7.4000,"-8,613",-64,nan,"12,003,088"
2020-12-03,2020-12-02,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,7.4090,"-33,757",-250,nan,"12,011,701"
2020-12-03,2020-12-01,4,WHITEBOX ADVISORS LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,7.6126,"-54,041",-411,nan,"12,045,458"
